,Predictions,Actual,Stock Price,,,,,,ROI,,,,
958,19.94218131,16.28,16.74,TRUE,FALSE,FALSE,-2.7%,,,,,,
1627,32.2190396,21.3,29.18,TRUE,FALSE,FALSE,-27.0%,,,,,,
110,72.48873207,72.71,69.33,TRUE,FALSE,FALSE,4.9%,,,,,,
1359,70.7327334,68.06,67.35,TRUE,FALSE,FALSE,1.1%,,,,,,
942,40.29284778,35.95,37.65,TRUE,FALSE,FALSE,-4.5%,,,,,,
819,255.8923228,223.46,255.73,TRUE,FALSE,FALSE,-12.6%,,,,,,
1114,127.486278,116.21,126.45,TRUE,FALSE,FALSE,-8.1%,,,,,,
219,49.19767831,49.57,47.62,TRUE,FALSE,FALSE,4.1%,,,,,,
1263,41.67474118,44.39,41.94,FALSE,TRUE,FALSE,5.8%,,,,,,
738,114.3994528,101.06,115.36,FALSE,TRUE,FALSE,-12.4%,,,,,,
475,132.5294114,56.43,127.47,TRUE,FALSE,FALSE,-55.7%,,,,,,
435,70.16876857,72.36,70.01,TRUE,FALSE,FALSE,3.4%,,,,,,
312,124.08422,126,130.02,FALSE,TRUE,FALSE,-3.1%,,,,,,
799,58.53242901,61.18,56.11,TRUE,FALSE,FALSE,9.0%,,,,,,
161,78.09480774,90.06,78.98,FALSE,TRUE,FALSE,14.0%,,,,,,
459,45.99721646,52.73,49.21,FALSE,TRUE,FALSE,7.2%,,,,,,
890,88.76663283,85.01,84.01,TRUE,FALSE,FALSE,1.2%,,,,,,
1371,114.2697697,113.7,112.89,TRUE,FALSE,FALSE,0.7%,,,,,,
122,72.12158646,72.61,69.03,TRUE,FALSE,FALSE,5.2%,,,,,,
222,52.13789191,49.74,48.28,TRUE,FALSE,FALSE,3.0%,,,,,,
807,256.8387011,260.24,256.55,TRUE,FALSE,FALSE,1.4%,,,,,,
1217,40.48286966,36.27,35.15,TRUE,FALSE,FALSE,3.2%,,,,,,
1629,91.70644791,88.12,90.33,TRUE,FALSE,FALSE,-2.4%,,,,,,
918,54.34542749,53.03,52.2,TRUE,FALSE,FALSE,1.6%,,,,,,
1505,302.4903132,297.21,303.58,FALSE,TRUE,FALSE,-2.1%,,,,,,
400,48.25273301,45.75,45.15,TRUE,FALSE,FALSE,1.3%,,,,,,
1850,20.89754113,18.68,18.07,TRUE,FALSE,FALSE,3.4%,,,,,,
901,32.98338767,32.67,29.09,TRUE,FALSE,FALSE,12.3%,,,,,,
1395,51.52789489,47.86,49.18,TRUE,FALSE,FALSE,-2.7%,,,,,,
558,79.04831319,77.39,76.86,TRUE,FALSE,FALSE,0.7%,,,,,,
208,233.2505983,236.31,240.96,FALSE,TRUE,FALSE,-1.9%,,,,,,
1265,26.81863128,27.32,25.19,TRUE,FALSE,FALSE,8.5%,,,,,,
801,56.60432881,54.17,53.97,TRUE,FALSE,FALSE,0.4%,,,,,,
1288,185.7685413,191.7,184.56,TRUE,FALSE,FALSE,3.9%,,,,,,
1772,156.2608273,156.97,158.81,FALSE,TRUE,FALSE,-1.2%,,,,,,
1656,66.97386219,68.2,67.22,FALSE,TRUE,FALSE,1.5%,,,,,,
737,96.73483168,105.47,106.89,FALSE,TRUE,FALSE,-1.3%,,,,,,
522,110.2455445,112.97,109.24,TRUE,FALSE,FALSE,3.4%,,,,,,
1454,29.51244088,27,27.25,TRUE,FALSE,FALSE,-0.9%,,,,,,
947,38.14058551,31.93,36.4,TRUE,FALSE,FALSE,-12.3%,,,,,,
1465,167.8056412,176.16,164.81,TRUE,FALSE,FALSE,6.9%,,,,,,
1720,35.65436791,30.12,30.8,TRUE,FALSE,FALSE,-2.2%,,,,,,
119,48.2967722,47.12,45.63,TRUE,FALSE,FALSE,3.3%,,,,,,
1802,57.56027493,58.72,55.1,TRUE,FALSE,FALSE,6.6%,,,,,,
1031,306.6876591,268.27,301.77,TRUE,FALSE,FALSE,-11.1%,,,,,,
1457,64.30923805,55.99,63.21,TRUE,FALSE,FALSE,-11.4%,,,,,,
308,87.77262901,73.1,84.79,TRUE,FALSE,FALSE,-13.8%,,,,,,
633,57.34035495,59.25,53.48,TRUE,FALSE,FALSE,10.8%,,,,,,
1333,63.63714912,65.77,64,FALSE,TRUE,FALSE,2.8%,,,,,,
426,37.75835952,34.8,35.68,TRUE,FALSE,FALSE,-2.5%,,,,,,
525,80.30579035,78.14,77.86,TRUE,FALSE,FALSE,0.4%,,,,,,
221,63.37571419,68.55,62.51,TRUE,FALSE,FALSE,9.7%,,,,,,
432,41.39389638,43.06,40.61,TRUE,FALSE,FALSE,6.0%,,,,,,
1478,128.5851836,123.35,124.16,TRUE,FALSE,FALSE,-0.7%,,,,,,
1306,183.5773037,173.2,176.6,TRUE,FALSE,FALSE,-1.9%,,,,,,
1177,38.03796147,33.2,34.84,TRUE,FALSE,FALSE,-4.7%,,,,,,
1379,138.3184668,130.26,133.33,TRUE,FALSE,FALSE,-2.3%,,,,,,
868,31.46437746,33.34,29.34,TRUE,FALSE,FALSE,13.6%,,,,,,
348,137.5458036,149.47,137.6,FALSE,TRUE,FALSE,8.6%,,,,,,
1414,31.7773808,30.92,28.94,TRUE,FALSE,FALSE,6.8%,,,,,,
1419,52.3938648,52.35,50.54,TRUE,FALSE,FALSE,3.6%,,,,,,
263,102.5951193,102.47,101.79,TRUE,FALSE,FALSE,0.7%,,,,,,
977,68.17834893,66.94,68.62,FALSE,TRUE,FALSE,-2.4%,,,,,,
1652,41.01003473,55.47,38.78,TRUE,FALSE,FALSE,43.0%,,,,,,
1719,62.338024,71.3,65.13,FALSE,TRUE,FALSE,9.5%,,,,,,
1211,308.4750641,293.86,321.35,FALSE,TRUE,FALSE,-8.6%,,,,,,
949,39.05304445,40.08,37.87,TRUE,FALSE,FALSE,5.8%,,,,,,
126,173.0049964,197.06,173.2,FALSE,TRUE,FALSE,13.8%,,,,,,
1416,69.44964375,66.3,70.27,FALSE,TRUE,FALSE,-5.6%,,,,,,
140,58.64018939,49.69,53.96,TRUE,FALSE,FALSE,-7.9%,,,,,,
1856,308.2852254,350.22,312.51,FALSE,TRUE,FALSE,12.1%,,,,,,
49,119.9246039,128.08,122.82,FALSE,TRUE,FALSE,4.3%,,,,,,
1564,337.3563706,381.69,357.61,FALSE,TRUE,FALSE,6.7%,,,,,,
108,81.45140955,78.99,78.56,TRUE,FALSE,FALSE,0.5%,,,,,,
1390,74.54235026,81.81,74.24,TRUE,FALSE,FALSE,10.2%,,,,,,
731,146.2359174,158.39,149,FALSE,TRUE,FALSE,6.3%,,,,,,
1353,121.6511286,139.49,118.62,TRUE,FALSE,FALSE,17.6%,,,,,,
272,163.5045522,161.82,167.44,FALSE,TRUE,FALSE,-3.4%,,,,,,
319,1214.488794,1221.75,1211,TRUE,FALSE,FALSE,0.9%,,,,,,
1653,70.31473514,73.79,67.97,TRUE,FALSE,FALSE,8.6%,,,,,,
625,64.63133682,66.9,61.84,TRUE,FALSE,FALSE,8.2%,,,,,,
577,118.0540522,109.66,116.45,TRUE,FALSE,FALSE,-5.8%,,,,,,
845,46.20471047,45.67,43.65,TRUE,FALSE,FALSE,4.6%,,,,,,
1740,289.5833878,290.73,290.22,FALSE,TRUE,FALSE,0.2%,,,,,,
536,197.1161761,208.71,198.24,FALSE,TRUE,FALSE,5.3%,,,,,,
152,170.3839958,184.26,172.17,FALSE,TRUE,FALSE,7.0%,,,,,,
460,230.4067561,230.96,227.24,TRUE,FALSE,FALSE,1.6%,,,,,,
1221,81.40634539,85.9,81.72,FALSE,TRUE,FALSE,5.1%,,,,,,
1141,25.22166495,22.34,22.7,TRUE,FALSE,FALSE,-1.6%,,,,,,
1547,115.9875617,118.14,115.35,TRUE,FALSE,FALSE,2.4%,,,,,,
1201,59.60130455,55.02,58.95,TRUE,FALSE,FALSE,-6.7%,,,,,,
564,73.49665606,72.05,71.8,TRUE,FALSE,FALSE,0.3%,,,,,,
1855,47.70651843,45.33,44.23,TRUE,FALSE,FALSE,2.5%,,,,,,
1097,106.8023092,116.73,106.3,TRUE,FALSE,FALSE,9.8%,,,,,,
141,90.83982686,99.08,90.03,TRUE,FALSE,FALSE,10.1%,,,,,,
22,208.3415141,210.57,211.66,FALSE,TRUE,FALSE,-0.5%,,,,,,
479,45.64642122,42.19,48.03,FALSE,TRUE,FALSE,-12.2%,,,,,,
548,59.08086629,56.38,56.79,TRUE,FALSE,FALSE,-0.7%,,,,,,
794,50.63631259,42.11,47.88,TRUE,FALSE,FALSE,-12.1%,,,,,,
1539,97.58956285,96.43,95.03,TRUE,FALSE,FALSE,1.5%,,,,,,
923,76.35257998,71.19,71.08,TRUE,FALSE,FALSE,0.2%,,,,,,
654,88.67851301,85.01,82.59,TRUE,FALSE,FALSE,2.9%,,,,,,
997,24.7991749,20.38,22.86,TRUE,FALSE,FALSE,-10.8%,,,,,,
759,68.32422149,64.38,64.61,TRUE,FALSE,FALSE,-0.4%,,,,,,
1678,210.7547896,235.01,220.56,FALSE,TRUE,FALSE,6.6%,,,,,,
1700,81.44583332,83.35,76,TRUE,FALSE,FALSE,9.7%,,,,,,
1445,134.7455067,108.83,127.79,TRUE,FALSE,FALSE,-14.8%,,,,,,
1205,46.69766248,45.42,44.27,TRUE,FALSE,FALSE,2.6%,,,,,,
178,107.3269363,103.35,106.46,TRUE,FALSE,FALSE,-2.9%,,,,,,
1331,99.7948418,103.56,97.71,TRUE,FALSE,FALSE,6.0%,,,,,,
1200,92.37524501,102.22,90.65,TRUE,FALSE,FALSE,12.8%,,,,,,
