,Predicted,Actual,Starting Price,Shares,Predictions,,Actual,,$ made,absolute of F,Normalized,Money Invested,,BUY ROI,,SELL ROI,
1684,362.8902567,357.0100001,357.5,0.008588523,0.015077641,TRUE,-0.001370629,,-0.004208375,0.015077641,0.03070397,3.070397044,,,,,
1338,131.2009151,130.02,128.84,0.028978854,0.018324396,TRUE,0.009158646,,0.034195047,0.018324396,0.037336356,3.733635586,,,,,
1709,35.28129991,34.69999999,35.64,0.057416754,-0.010064537,FALSE,-0.02637486,,-0.053971749,0.010064537,0.020463331,2.046333096,,,,,
1119,156.5253107,160.48,154.44,0.017797274,0.0135024,TRUE,0.039109039,,0.107495532,0.0135024,0.027486109,2.748610939,,,,,
912,114.364748,113.7600001,112.85,0.024211991,0.013422667,TRUE,0.008063802,,0.022032913,0.013422667,0.027323232,2.732323224,,,,,
955,64.42671417,60.60000002,62.59,0.095621196,0.02934517,TRUE,-0.031794216,,-0.190286177,0.02934517,0.059849306,5.984930627,,,,,
333,182.0527198,177.43,179.9,0.013534188,0.011966202,TRUE,-0.01372985,,-0.033429445,0.011966202,0.024348004,2.434800417,,,,,
659,79.38347387,75.80999999,77.91,0.049464441,0.018912513,TRUE,-0.026954178,,-0.103875327,0.018912513,0.038537746,3.853774631,,,,,
1209,48.73355187,50.34000002,48.51,0.019207604,0.004608367,TRUE,0.037724181,,0.035149916,0.004608367,0.009317609,0.931760872,,,,,
375,41.37537349,41.7,41.58,0.023946139,-0.004921272,FALSE,0.002886003,,0.002873537,0.004921272,0.009956804,0.995680446,,,,,
1829,124.9066125,125.9799999,123.32,0.021233954,0.012865816,TRUE,0.021569899,,0.056482316,0.012865816,0.026185712,2.618571191,,,,,
1589,67.4040522,69.75000002,67.09,0.014109556,0.004681058,TRUE,0.039648234,,0.03753142,0.004681058,0.009466101,0.946610121,,,,,
606,138.4676874,145.84,136.69,0.019365382,0.013005248,TRUE,0.066939791,,0.177193242,0.013005248,0.02647054,2.647054002,,,,,
870,25.69646662,28.18,25.81,0.034442228,-0.004398813,FALSE,0.091824874,,0.08162808,0.004398813,0.008889539,0.888953896,,,,,
149,135.1143203,135.13,132.75,0.027334253,0.017810322,TRUE,0.017928437,,0.065055521,0.017810322,0.03628622,3.628622031,,,,,
1257,199.6912854,197.5800001,197.67,0.01051867,0.010225555,TRUE,-0.000455304,,-0.00094668,0.010225555,0.020792255,2.079225479,,,,,
108,79.52507411,78.73000003,77.89,0.054931131,0.020992093,TRUE,0.01078444,,0.046142152,0.020992093,0.042785858,4.278585818,,,,,
1314,69.63744145,74.00000002,68.08,0.068501111,0.022876637,TRUE,0.086956522,,0.405526577,0.022876637,0.046635556,4.663555617,,,,,
1530,65.97658794,65.20999999,64.84,0.055076775,0.017529117,TRUE,0.005706354,,0.020378407,0.017529117,0.035711781,3.571178123,,,,,
1009,68.31498644,66.75999997,67.68,0.028175895,0.009382187,TRUE,-0.013593381,,-0.025921824,0.009382187,0.019069446,1.906944553,,,,,
1360,359.3125602,378.8100001,354.74,0.007395527,0.012889892,TRUE,0.067852512,,0.178010339,0.012889892,0.026234893,2.623489296,,,,,
434,98.41050063,96.68000003,97.23,0.025409577,0.012141321,TRUE,-0.00565669,,-0.013975266,0.012141321,0.024705732,2.470573158,,,,,
460,230.9874042,244.9100001,228.56,0.009449984,0.010620425,TRUE,0.071534827,,0.154507244,0.010620425,0.021598884,2.159888413,,,,,
1750,58.93569042,54.13000001,56.94,0.125572454,0.035049006,TRUE,-0.049350193,,-0.352858595,0.035049006,0.071500955,7.150095541,,,,,
210,103.8236361,98.13000003,102.37,0.028241468,0.014199825,TRUE,-0.041418384,,-0.119743821,0.014199825,0.02891079,2.891079029,,,,,
2,100.1020964,104.18,98.73,0.028657075,0.013897462,TRUE,0.055201053,,0.15618106,0.013897462,0.028293131,2.829313064,,,,,
6,254.4132566,243.8099999,251.82,0.008315606,0.010298057,TRUE,-0.031808435,,-0.066608005,0.010298057,0.020940359,2.094035918,,,,,
1661,29.94136374,29.44000001,29.47,0.110543976,0.015994698,TRUE,-0.001017984,,-0.003316318,0.015994698,0.03257731,3.257730975,,,,,
406,60.03079648,58.82,59.76,0.015328621,0.0045314,TRUE,-0.015729585,,-0.014408904,0.0045314,0.009160384,0.916038384,,,,,
608,34.35097853,35.81,34.4,0.008182551,-0.001425043,FALSE,0.040988372,,0.011537397,0.001425043,0.002814798,0.281479751,,,,,
1216,61.28826162,57.21000002,59.88,0.080069881,0.023518063,TRUE,-0.044589178,,-0.21378658,0.023518063,0.047945845,4.794584466,,,,,
1567,105.4733667,106.94,104.1,0.025795957,0.013192764,TRUE,0.02728146,,0.073260518,0.013192764,0.026853591,2.685359136,,,,,
923,73.28155132,70.62000003,71.58,0.067704943,0.023771323,TRUE,-0.013411567,,-0.064996743,0.023771323,0.048463198,4.846319788,,,,,
982,35.36279977,36.50000001,36.48,0.171227311,-0.030625006,FALSE,0.000548246,,0.003424549,0.030625006,0.062463723,6.246372301,,,,,
1006,50.03764243,50.26000001,50.04,0,-4.71E-05,FALSE,0.004396483,,0,4.71137E-05,0,0,,,,,
121,49.39259054,48.74000002,49.2,0.016057068,0.003914442,TRUE,-0.009349593,,-0.007386251,0.003914442,0.007900077,0.790007735,,,,,
402,94.14624433,92.10999998,92.76,0.032807059,0.014944419,TRUE,-0.007007331,,-0.021324589,0.014944419,0.030431828,3.043182807,,,,,
370,110.8965902,113.61,109.94,0.016079658,0.008701021,TRUE,0.033381845,,0.059012346,0.008701021,0.017677976,1.767797625,,,,,
28,71.74923916,67.15999997,70.55,0.049082502,0.016998429,TRUE,-0.048051028,,-0.166389684,0.016998429,0.034627705,3.462770541,,,,,
459,50.38220501,53.39,50.43,0.003648215,-0.000947749,FALSE,0.058695221,,0.010798716,0.000947749,0.001839795,0.183979476,,,,,
1586,46.59304692,46.65999999,46.58,0.001021753,0.000280097,TRUE,0.001717475,,8.17402E-05,0.000280097,0.000475932,0.047593239,,,,,
1511,67.32799882,65.94000001,65.74,0.074914039,0.024155747,TRUE,0.003042288,,0.014982809,0.024155747,0.049248489,4.924848898,,,,,
1388,28.35171141,28.74000001,28.13,0.056893815,0.007881671,TRUE,0.021685034,,0.034705227,0.007881671,0.01600423,1.600423008,,,,,
1792,47.06897063,49.19000001,47.18,0.009985262,-0.002353314,FALSE,0.042602798,,0.020070376,0.002353314,0.004711047,0.47110465,,,,,
723,120.2142415,123.72,118.56,0.023959288,0.01395278,TRUE,0.043522267,,0.123629928,0.01395278,0.028406132,2.840613233,,,,,
748,27.33575133,26.93,28.64,0.324477922,-0.045539409,FALSE,-0.059706704,,-0.554857247,0.045539409,0.092930477,9.293047683,,,,,
1057,112.5360075,115.51,111.08,0.024018637,0.013107738,TRUE,0.039881167,,0.106402564,0.013107738,0.026679902,2.667990241,,,,,
24,95.27509355,95.61999996,94.06,0.027953313,0.012918281,TRUE,0.016585158,,0.043607167,0.012918281,0.026292886,2.62928863,,,,,
1094,105.5582734,106.98,104.14,0.026621964,0.013618911,TRUE,0.027270981,,0.075606378,0.013618911,0.027724114,2.772411364,,,,,
920,98.9641171,102.92,97.74,0.02607725,0.012524218,TRUE,0.052997749,,0.135080157,0.012524218,0.025487905,2.548790451,,,,,
825,218.6928303,214.1900001,216.06,0.011476569,0.012185644,TRUE,-0.008655003,,-0.021461183,0.012185644,0.024796274,2.479627448,,,,,
1213,108.5692589,109.38,107.15,0.025162285,0.013245533,TRUE,0.020811946,,0.056111895,0.013245533,0.026961388,2.696138787,,,,,
1578,45.2875521,43.85999999,44.95,0.033913174,0.007509502,TRUE,-0.024249166,,-0.03696536,0.007509502,0.015243972,1.524397183,,,,,
926,82.1975881,83.50999997,80.17,0.064323031,0.025291108,TRUE,0.041661469,,0.214838921,0.025291108,0.051567774,5.156777376,,,,,
146,90.19896914,95.92000003,87.93,0.059838555,0.025804266,TRUE,0.090867736,,0.478110053,0.025804266,0.052616041,5.261604108,,,,,
471,41.56524065,43.72000001,41.74,0.020260079,-0.004186856,FALSE,0.047436512,,0.040114957,0.004186856,0.008456557,0.8456557,,,,,
1046,25.70280666,24.7,25.97,0.080558012,-0.010288538,FALSE,-0.04890258,,-0.102308676,0.010288538,0.020920916,2.092091581,,,,,
787,99.87338388,104.84,98.49,0.029034849,0.014045932,TRUE,0.064473551,,0.184371289,0.014045932,0.028596422,2.859642234,,,,,
167,170.2330842,173.95,172.78,0.017372314,-0.014740802,FALSE,0.006771617,,0.020325608,0.014740802,0.030015885,3.001588473,,,,,
1375,112.3310591,117.96,111.31,0.016748137,0.009173112,TRUE,0.05974306,,0.111375114,0.009173112,0.018642352,1.864235175,,,,,
1352,47.61414939,48.25,47.55,0.005593376,0.001349093,TRUE,0.014721346,,0.003915363,0.001349093,0.00265965,0.265965014,,,,,
773,73.27717982,73.29000002,72,0.050194063,0.017738609,TRUE,0.017916667,,0.064750343,0.017738609,0.036139725,3.613972543,,,,,
1222,208.404396,200.1300001,205.7,0.013009569,0.013147282,TRUE,-0.027078269,,-0.072463299,0.013147282,0.026760684,2.676068368,,,,,
1084,158.2187528,157.98,155.29,0.024747412,0.018859893,TRUE,0.017322429,,0.066570538,0.018859893,0.038430256,3.84302561,,,,,
487,42.59737325,40.9,41.92,0.078512299,0.016158713,TRUE,-0.024332061,,-0.080082545,0.016158713,0.032912356,3.291235577,,,,,
1422,143.4447475,139.68,141.67,0.017995532,0.012527335,TRUE,-0.014046728,,-0.035811108,0.012527335,0.02549427,2.549427022,,,,,
260,127.1797655,128.8200001,125.11,0.026935115,0.016543565,TRUE,0.029653905,,0.099929277,0.016543565,0.033698522,3.369852202,,,,,
499,52.75424561,54.89999998,52.67,0.006020832,0.001599499,TRUE,0.042339092,,0.013426455,0.001599499,0.003171172,0.317117225,,,,,
712,117.9601214,109.23,115.87,0.031718601,0.018038504,TRUE,-0.057305601,,-0.210611513,0.018038504,0.036752344,3.67523435,,,,,
158,50.33460021,51.60000001,49.94,0.032127968,0.007901486,TRUE,0.033239888,,0.053332427,0.007901486,0.016044707,1.604470728,,,,,
142,44.93839918,44.51999998,44.43,0.052393896,0.0114427,TRUE,0.002025658,,0.00471545,0.0114427,0.023278608,2.327860789,,,,,
1710,249.1345257,246.1400001,245.67,0.011687093,0.014102356,TRUE,0.001913136,,0.005492935,0.014102356,0.028711682,2.871168228,,,,,
227,186.9800221,188.98,184.86,0.012620803,0.011468258,TRUE,0.022287136,,0.051997706,0.011468258,0.023330816,2.333081579,,,,,
684,35.9244668,35.26999999,36.2,0.042685515,-0.007611414,FALSE,-0.025690608,,-0.03969753,0.007611414,0.015452157,1.545215658,,,,,
1744,104.2107712,107.3,102.8,0.027176726,0.013723455,TRUE,0.043774319,,0.122295269,0.013723455,0.027937675,2.79376748,,,,,
1503,186.1389624,175.91,184.07,0.012421747,0.011240085,TRUE,-0.044330961,,-0.101361455,0.011240085,0.02286471,2.286470972,,,,,
342,42.90396517,42.91000002,43.06,0.016967201,-0.003623661,FALSE,-0.003483511,,-0.00254508,0.003623661,0.007306077,0.730607696,,,,,
1380,106.3928304,110.95,105,0.025715486,0.013265052,TRUE,0.056666667,,0.153007141,0.013265052,0.02700126,2.700126007,,,,,
1654,69.922469,71.45,68.88,0.044744857,0.015134567,TRUE,0.037311266,,0.114994283,0.015134567,0.030820258,3.082025772,,,,,
363,54.087048,54.23999998,53.47,0.043907854,0.011540079,TRUE,0.014400598,,0.033809046,0.011540079,0.023477529,2.347752946,,,,,
497,81.11823837,80.13999999,78.2,0.097359633,0.037317626,TRUE,0.024808184,,0.188877687,0.037317626,0.076135233,7.613523298,,,,,
346,265.1032892,270.3699999,261.46,0.010850071,0.013934404,TRUE,0.03407787,,0.096674127,0.013934404,0.028368594,2.836859447,,,,,
915,17.8524028,17.70000001,17.28,0.391035744,0.033125162,TRUE,0.024305556,,0.164235015,0.033125162,0.067570977,6.757097651,,,,,
565,81.22032297,81.17000003,79.11,0.068760458,0.026675805,TRUE,0.026039692,,0.141646546,0.026675805,0.054396399,5.439639851,,,,,
269,52.50557813,54.66999998,52.73,0.016305555,-0.004256057,FALSE,0.0367912,,0.031632776,0.004256057,0.008597919,0.859791899,,,,,
263,102.0776777,102.89,99.97,0.042984664,0.021083102,TRUE,0.029208763,,0.125515221,0.021083102,0.042971769,4.297176867,,,,,
1371,114.0801828,115.21,112.54,0.024756035,0.013685647,TRUE,0.023724898,,0.066098614,0.013685647,0.027860442,2.786044166,,,,,
1387,202.5895177,211.85,199.82,0.014121075,0.013860063,TRUE,0.060204184,,0.169876537,0.013860063,0.028216733,2.821673269,,,,,
848,91.32253498,92.99999996,90.06,0.031691138,0.014018821,TRUE,0.032644903,,0.093171946,0.014018821,0.028541039,2.85410392,,,,,
616,74.64718767,71.38999999,73.32,0.050300916,0.018101305,TRUE,-0.026322968,,-0.097080769,0.018101305,0.036880632,3.688063164,,,,,
1328,60.18968613,63.51,59.37,0.04734229,0.013806403,TRUE,0.069732188,,0.19599708,0.013806403,0.028107117,2.810711741,,,,,
193,87.73800416,87.43000003,86.54,0.03256599,0.013843358,TRUE,0.010284262,,0.028983732,0.013843358,0.028182608,2.818260788,,,,,
1053,155.1544118,155.88,153.34,0.015700468,0.011832606,TRUE,0.016564497,,0.039879187,0.011832606,0.024075097,2.4075097,,,,,
1346,102.6680976,103.63,101.28,0.027548468,0.013705545,TRUE,0.023203002,,0.0647389,0.013705545,0.027901088,2.790108817,,,,,
925,16.04236583,16.02,15.58,0.388491147,0.029676883,TRUE,0.028241335,,0.170936104,0.029676883,0.060526921,6.052692072,,,,,
798,8.781289832,9.910000003,9.89,2.314532088,-0.112104163,FALSE,0.002022245,,0.046290649,0.112104163,0.228907224,22.89072235,,,,,
163,194.6441115,194.42,192.44,0.012108018,0.0114535,TRUE,0.010288921,,0.023973874,0.0114535,0.023300669,2.330066907,,,,,
393,119.8015791,124.25,118.32,0.021537322,0.012521798,TRUE,0.050118323,,0.127716322,0.012521798,0.02548296,2.548295996,,,,,
1386,52.37874044,50.24000002,51.86,0.039215251,0.010002708,TRUE,-0.031237948,,-0.063528705,0.010002708,0.020337029,2.033702902,,,,,
1663,75.28252117,74.39999999,74.19,0.040417342,0.01472599,TRUE,0.00283057,,0.008487641,0.01472599,0.029985626,2.998562576,,,,,
156,30.00535818,30.88000001,30.01,0.000732173,-0.000154676,FALSE,0.028990337,,0.000636991,0.000154676,0.000219725,0.02197252,,,,,
322,102.1910459,103.06,100.48,0.034523871,0.017028721,TRUE,0.025676752,,0.089071588,0.017028721,0.034689586,3.468958552,,,,,
1755,51.62760178,53.32,51.21,0.032341242,0.008154692,TRUE,0.04120289,,0.068240021,0.008154692,0.01656195,1.656195015,,,,,
1368,91.29418838,87.17000003,89.14,0.05527277,0.024166349,TRUE,-0.022100067,,-0.108887355,0.024166349,0.049270147,4.927014683,,,,,
407,105.4423095,108.38,103.16,0.043716598,0.022123978,TRUE,0.050601008,,0.228200643,0.022123978,0.045098043,4.50980429,,,,,
348,136.747247,143.16,135.01,0.019397999,0.012867543,TRUE,0.060365899,,0.158093696,0.012867543,0.026189239,2.618923911,,,,,
581,67.7159148,65.40000002,66.06,0.077368492,0.02506683,TRUE,-0.009990917,,-0.051063203,0.02506683,0.051109626,5.110962577,,,,,
457,122.2673104,124.4600001,120.76,0.021034608,0.012481868,TRUE,0.030639285,,0.077828052,0.012481868,0.025401393,2.540139297,,,,,
1545,52.77532151,53.22999998,52.62,0.011276191,0.002951758,TRUE,0.01159255,,0.006878476,0.002951758,0.005933532,0.593353166,,,,,
1760,143.0747187,149.7800001,141.41,0.016937892,0.011772284,TRUE,0.059189591,,0.141770158,0.011772284,0.023951873,2.395187328,,,,,
781,70.96487694,73.56000003,70.54,0.017306217,0.006023206,TRUE,0.042812589,,0.052264775,0.006023206,0.012207805,1.220780538,,,,,
591,70.92074452,67.56999997,69.03,0.080915133,0.027390186,TRUE,-0.021150225,,-0.118136096,0.027390186,0.055855716,5.585571598,,,,,
473,97.56961779,99.28000002,96.26,0.028771772,0.013605005,TRUE,0.031373364,,0.086890752,0.013605005,0.027695708,2.769570768,,,,,
1025,55.26991547,49.82999997,55.25,0.001158548,0.000360461,TRUE,-0.098099548,,-0.006279328,0.000360461,0.000640098,0.064009752,,,,,
98,78.31685364,79.16999996,77.14,0.040275435,0.015256075,TRUE,0.026315789,,0.081759132,0.015256075,0.031068471,3.106847068,,,,,
1319,43.43531627,42.16000001,43.27,0.017814486,0.003820575,TRUE,-0.025652877,,-0.019774079,0.003820575,0.007708328,0.770832814,,,,,
1644,26.00895701,27.95,26.1,0.026932709,-0.003488237,FALSE,0.070881226,,0.049825512,0.003488237,0.007029437,0.702943712,,,,,
1608,162.4456313,163.93,156.97,0.045335064,0.034883298,TRUE,0.044339683,,0.31553205,0.034883298,0.071162451,7.116245068,,,,,
105,17.13486545,18.18,17.23,0.06490324,-0.005521448,FALSE,0.05513639,,0.061658078,0.005521448,0.011182828,1.118282824,,,,,
90,64.59018827,69.38999998,64.35,0.011699256,0.003732529,TRUE,0.078321678,,0.058964251,0.003732529,0.007528471,0.752847134,,,,,
1763,158.5421241,147.13,156.57,0.01637231,0.012595798,TRUE,-0.060292521,,-0.154554605,0.012595798,0.025634125,2.563412544,,,,,
646,51.46903411,54.46,50.77,0.055209744,0.013768645,TRUE,0.072680717,,0.203723955,0.013768645,0.028029987,2.802998701,,,,,
1127,113.6077284,113.36,111.44,0.035570487,0.019451978,TRUE,0.017229002,,0.068295335,0.019451978,0.039639751,3.963975112,,,,,
1190,39.79279101,38.34000002,39.97,0.022418058,-0.00443355,FALSE,-0.040780585,,-0.036541434,0.00443355,0.008960498,0.896049772,,,,,
831,9.512586052,9.459999996,8.99,1.319795407,0.058129705,TRUE,0.052280311,,0.620303836,0.058129705,0.118649607,11.8649607,,,,,
315,142.2087045,145.2299999,140.52,0.017401703,0.012017539,TRUE,0.03351836,,0.081962019,0.012017539,0.024452873,2.445287276,,,,,
202,36.10935554,36.98999999,36.39,0.043028026,-0.007712131,FALSE,0.016488046,,0.025816815,0.007712131,0.015657899,1.565789854,,,,,
466,88.00627102,90.54000004,85.86,0.059361354,0.024997333,TRUE,0.054507338,,0.277811141,0.024997333,0.050967659,5.09676588,,,,,
1766,78.06629924,79.96000003,76.47,0.055637954,0.020874843,TRUE,0.045638813,,0.194176461,0.020874843,0.042546343,4.254634337,,,,,
699,68.14415487,66.63,66.51,0.075319263,0.024570063,TRUE,0.00180424,,0.009038312,0.024570063,0.050094842,5.009484213,,,,,
605,66.30281534,65.69999998,65.09,0.058329324,0.018632898,TRUE,0.009371639,,0.035580886,0.018632898,0.037966557,3.796655667,,,,,
107,48.22692591,49.27999999,47.94,0.025302405,0.005985104,TRUE,0.027951606,,0.033905222,0.005985104,0.012129973,1.212997296,,,,,
1170,192.1432373,178.1,190.02,0.011961487,0.011173757,TRUE,-0.062730239,,-0.142580921,0.011173757,0.022729217,2.272921689,,,,,
1585,155.1939563,161.3399999,153.08,0.018365181,0.013809487,TRUE,0.053958714,,0.15169639,0.013809487,0.028113418,2.811341843,,,,,
1262,94.90855758,98.75000003,92.97,0.045712078,0.020851431,TRUE,0.062170593,,0.264215811,0.020851431,0.042498519,4.249851878,,,,,
767,82.27470471,98.62999999,80.21,0.065437338,0.025741238,TRUE,0.229647176,,1.205355764,0.025741238,0.052487289,5.248728874,,,,,
764,167.6490867,170.33,165.29,0.017580656,0.01427241,TRUE,0.030491863,,0.088606506,0.01427241,0.029059066,2.905906589,,,,,
1852,25.65603898,27.25,26.43,0.225967397,-0.029283429,FALSE,0.03102535,,0.185293266,0.029283429,0.059723183,5.972318316,,,,,
715,33.08237558,30.42999999,32.98,0.01893535,0.003104172,TRUE,-0.077319588,,-0.048285143,0.003104172,0.006244878,0.624487847,,,,,
1268,146.647482,148.76,144.83,0.017633553,0.012549072,TRUE,0.027135262,,0.069299861,0.012549072,0.025538674,2.553867414,,,,,
229,46.8358598,45.16,45.45,0.136835973,0.030491965,TRUE,-0.006380638,,-0.039682432,0.030491965,0.06219195,6.219194972,,,,,
1428,46.51940848,44.78000002,45.85,0.064837927,0.014599967,TRUE,-0.023336968,,-0.069376581,0.014599967,0.02972819,2.972818957,,,,,
1031,307.8534523,307.56,303.97,0.008554061,0.012775775,TRUE,0.011810376,,0.030709078,0.012775775,0.026001778,2.600177809,,,,,
849,158.019044,159.7099999,156.09,0.01611215,0.012358537,TRUE,0.023191748,,0.058325982,0.012358537,0.025149455,2.514945495,,,,,
1178,327.1080505,315.3099999,324.36,0.005306017,0.008472224,TRUE,-0.027901098,,-0.048019451,0.008472224,0.017210596,1.721059552,,,,,
282,144.4959689,140.01,142.5,0.020011566,0.014006799,TRUE,-0.017473684,,-0.049828799,0.014006799,0.028516482,2.851648197,,,,,
1182,174.6281991,174.65,172.77,0.012661037,0.010755334,TRUE,0.010881519,,0.02380275,0.010755334,0.021874474,2.18744738,,,,,
441,53.88826908,53.21999999,53.16,0.052462152,0.013699569,TRUE,0.001128668,,0.003147729,0.013699569,0.02788888,2.788887995,,,,,
1309,153.9910711,156.2000001,152.13,0.016363558,0.012233426,TRUE,0.026753435,,0.066599684,0.012233426,0.024893881,2.489388129,,,,,
1496,143.9973407,136.92,142.14,0.018711584,0.013066981,TRUE,-0.036724356,,-0.09767447,0.013066981,0.026596646,2.659664601,,,,,
281,51.24840167,52.69999998,50.91,0.026482405,0.006647057,TRUE,0.035160086,,0.047403504,0.006647057,0.013482192,1.348219214,,,,,
589,180.7790035,189.74,178.64,0.013638361,0.011973822,TRUE,0.06213614,,0.15138581,0.011973822,0.024363568,2.436356837,,,,,
895,83.67761026,88.58000002,82.26,0.042678664,0.017233288,TRUE,0.076829565,,0.26972916,0.017233288,0.035107469,3.510746939,,,,,
1418,101.3262446,98.09999997,99.88,0.029518182,0.014479822,TRUE,-0.017821386,,-0.052542365,0.014479822,0.02948276,2.948275994,,,,,
100,178.1631068,178.64,176.02,0.014075256,0.01217536,TRUE,0.014884672,,0.03687717,0.01217536,0.024775265,2.477526538,,,,,
1780,213.3226775,217.0900001,211.44,0.008556928,0.008904074,TRUE,0.026721529,,0.048346644,0.008904074,0.018092769,1.809276859,,,,,
654,82.44634475,88.01999997,81.28,0.035946087,0.014349714,TRUE,0.082923228,,0.242276625,0.014349714,0.029216979,2.921697947,,,,,
